species,morphology_estimator,estimator_label,cell_area_um2,nc_area_ratio,nuc_area_um2,iod_subset,relative_nuclear_iod_proxy,iod_n_images,iod_n_specimens,iod_n_pass_images,iod_n_high_qc_nuclei,iod_proxy_is_absolute_genome_size,DIRS,Helitron,LINE,LTR,Maverick,PLE,SINE,TIR,Transposon Derivatives,YR,ltr_line_logratio,observed_richness,shannon_entropy,gini_simpson,hill_q1,hill_q2,pielou_evenness,ectopic_n_elements,terminal_internal_ratio_median,terminal_internal_ratio_geometric_mean,terminal_internal_ratio_median_ci_low,terminal_internal_ratio_median_ci_high,morphology_n_images,morphology_n_specimens,n_manual_keep,n_model_ranked_unlabeled,manual_keep_fraction,terminal_internal_proxy_is_ectopic_rate,analysis_interpretation
apalachicolae,composite_selected50,Frozen composite top 50,268.6536,0.1466305,40.5576,high_qc,0.792892376,2,2,1,11,False,0.01664503321,0.00164595657,0.1778875189,0.6130982446,0.003155658912,7.60023929e-05,0.01007558556,0.1736801869,0.002093377045,0.001642435896,1.237373757,10,1.078504629,0.5619034383,2.940279453,2.282601799,0.468388609,12,0.5803427918,0.5440445243,0.3729101595,0.8780561077,2,2,26,24,0.52,False,exploratory_measurement_sensitivity
auriculatus,composite_selected50,Frozen composite top 50,282.8232,0.1669835,47.2392,high_qc,0.870663288,2,2,1,6,False,0.01094212531,0.001127029584,0.1525877172,0.6475484663,0.005882897303,3.762520785e-05,0.007261387085,0.1716937493,0.00188136709,0.001037635603,1.445454017,10,1.013150637,0.5277062747,2.754265048,2.117326457,0.4400057309,13,0.7094433908,0.6740120865,0.4483030963,1.030496282,2,2,26,24,0.52,False,exploratory_measurement_sensitivity
bairdi,composite_selected50,Frozen composite top 50,286.1064,0.1465485,42.4872,high_qc,0.989460115,1,1,1,12,False,0.01395890296,0.001190160409,0.1510124524,0.6657161897,0.005095527714,3.295083639e-05,0.008756949995,0.1511301763,0.001944629286,0.001162060399,1.483501138,10,0.9982899183,0.5108728147,2.713637317,2.044458027,0.4335518029,32,0.5432169726,0.4923286227,0.4273760909,0.7159500895,1,1,27,23,0.54,False,exploratory_measurement_sensitivity
campi,composite_selected50,Frozen composite top 50,234.9648,0.1622545,37.4472,high_qc,0.721265986,2,2,2,11,False,0.01542703514,0.001410744873,0.167707444,0.6244755653,0.004020151002,4.475503502e-05,0.01291107749,0.1708935396,0.00175776205,0.001351925436,1.314691145,10,1.06787891,0.5522721191,2.909202271,2.233499504,0.4637739179,33,0.6815578756,0.7438831984,0.5115001014,0.9816317288,2,2,32,18,0.64,False,exploratory_measurement_sensitivity
fuscus,composite_selected50,Frozen composite top 50,260.5968,0.176701,46.7784,high_qc,1,4,4,1,12,False,0.01437289827,0.001499901741,0.1635992169,0.6469634796,0.004976283035,4.573561325e-05,0.009211603144,0.1559169862,0.002239720143,0.001174175398,1.37487021,10,1.030001303,0.5300386017,2.801069483,2.127834336,0.447323882,34,0.7050489108,0.7644807407,0.6327500287,0.9029393633,4,4,25,25,0.5,False,exploratory_measurement_sensitivity
gvnigeusgwotli,composite_selected50,Frozen composite top 50,252.6768,0.161044,41.2272,high_qc,0.823600383,1,1,1,16,False,0.02509054123,0.00321724914,0.1554118997,0.6040273239,0.00499479134,0.0001326075624,0.01103973289,0.1919136101,0.002562593627,0.001609650475,1.357540425,10,1.124606128,0.5733714146,3.079003875,2.343959205,0.4884102355,27,0.5132832219,0.5939479841,0.465892953,0.6290836015,1,1,25,25,0.5,False,exploratory_measurement_sensitivity
intermedius,composite_selected50,Frozen composite top 50,274.572,0.155247,42.1488,high_qc,0.976656637,2,2,2,16,False,0.02106713276,0.002432969096,0.1636153342,0.6139731574,0.005669587401,7.289031343e-05,0.0100733652,0.17975681,0.001823813415,0.00151494031,1.32243306,10,1.09780914,0.5633654868,2.99759152,2.290244975,0.4767724515,24,0.6458576375,0.8004003748,0.5710053102,0.8338711889,2,2,20,30,0.4,False,exploratory_measurement_sensitivity
kanawha,composite_selected50,Frozen composite top 50,249.1344,0.1615,40.5432,high_qc,0.79531202,2,2,1,9,False,0.02025791477,0.002161647839,0.1501103977,0.6342074111,0.005418384519,8.657212912e-05,0.01014231711,0.1742261927,0.001999235867,0.001389926241,1.441005039,10,1.067385903,0.5443398443,2.907768366,2.194618045,0.4635598075,,,,,,2,2,13,37,0.26,False,exploratory_measurement_sensitivity
marmoratus,composite_selected50,Frozen composite top 50,261.0504,0.1703245,44.6256,high_qc,0.950714856,2,2,1,11,False,0.01916582996,0.0026880015,0.1691107757,0.6033818152,0.005265705115,6.342951018e-05,0.01102709889,0.1855793933,0.002163392547,0.001554558267,1.271996212,10,1.110916335,0.5723612395,3.037140157,2.338422267,0.482464834,14,0.5123653913,0.6361630242,0.4100395052,1.078267555,2,2,11,39,0.22,False,exploratory_measurement_sensitivity
mavrokoilius,composite_selected50,Frozen composite top 50,249.9624,0.151946,38.628,high_qc,0.748055505,2,2,2,14,False,0.02094693519,0.002468665216,0.1580119413,0.6245793258,0.005168475376,7.891916621e-05,0.01054759639,0.1747925696,0.002036183592,0.001369388374,1.374407736,10,1.083799965,0.553791589,2.955890517,2.241105222,0.4706883442,27,0.5792901095,0.617755819,0.4986354702,0.7328088192,2,2,6,44,0.12,False,exploratory_measurement_sensitivity
monticola,composite_selected50,Frozen composite top 50,238.3848,0.1572345,38.9448,high_qc,0.863431773,2,2,1,21,False,0.01512317072,0.00179140535,0.176405054,0.6180323355,0.002390706635,6.27847071e-05,0.009622737975,0.1728114466,0.002179982658,0.001580375887,1.253757985,10,1.064839331,0.5567160073,2.900372948,2.255890166,0.4624538457,24,0.627535033,0.6239255134,0.5126173361,0.7566837552,2,2,13,35,0.26,False,exploratory_measurement_sensitivity
ocoee,composite_selected50,Frozen composite top 50,273.2184,0.1497875,41.2128,high_qc,0.912184316,3,3,1,9,False,0.015774489,0.001683140208,0.1778491744,0.6170544765,0.00383881747,5.394017692e-05,0.00997303559,0.1704271442,0.001814266456,0.001531515932,1.244021456,10,1.072008978,0.5581965273,2.921242319,2.263449841,0.4655675835,34,0.6598876856,0.7360709739,0.5523018183,0.7320174458,3,3,5,45,0.1,False,exploratory_measurement_sensitivity
perlapsus,composite_selected50,Frozen composite top 50,255.8808,0.1433005,35.5752,high_qc,0.648610543,3,3,1,13,False,0.01775479014,0.001605678776,0.1821870152,0.6146669274,0.00402679765,4.420950998e-05,0.009616092032,0.1665508764,0.001957886109,0.001589726733,1.216046824,10,1.079558131,0.5608204078,2.943378677,2.276972832,0.4688461393,44,0.5520895834,0.6473253432,0.47374849,0.6889477886,3,3,6,44,0.12,False,exploratory_measurement_sensitivity
tilleyi,composite_selected50,Frozen composite top 50,249.4368,0.1585835,39.384,high_qc,0.852539629,2,2,2,23,False,0.01790468937,0.001798355368,0.1853052378,0.5976727713,0.00215446093,8.175124344e-05,0.01072728624,0.1803092207,0.002307467683,0.001738759302,1.171038999,10,1.099989749,0.5754859294,3.004135228,2.355634523,0.477719478,122,0.5737035668,0.6160149383,0.5465284846,0.6387908135,2,2,7,43,0.14,False,exploratory_measurement_sensitivity
valtos,composite_selected50,Frozen composite top 50,280.5912,0.1773525,48.7656,high_qc,1.250005,2,2,1,9,False,0.01263210407,0.001125542021,0.1463057822,0.6730186805,0.005620434576,4.30974337e-05,0.007970948114,0.1503306919,0.00182819691,0.001124522325,1.526074256,10,0.9826705186,0.502780586,2.671581231,2.011184543,0.4267683837,,,,,,2,2,8,42,0.16,False,exploratory_measurement_sensitivity
welteri,composite_selected50,Frozen composite top 50,277.416,0.160534,44.928,high_qc,0.714906219,2,2,1,9,False,0.01280740296,0.001507398617,0.1777930542,0.6259381372,0.005286041288,6.936633294e-05,0.008779404961,0.1644843177,0.002066250919,0.001268625895,1.258631287,10,1.054002602,0.549258782,2.86911208,2.218567905,0.457747514,76,0.5978278055,0.6815146068,0.543768929,0.6802770783,2,2,9,41,0.18,False,exploratory_measurement_sensitivity
amphileucus,composite_selected50,Frozen composite top 50,297.1296,0.139244,41.6592,image_qc_pass,0.873087258,2,2,1,15,False,0.02470365352,0.003090392184,0.1579813241,0.5984727176,0.003709692581,0.0001005205879,0.01197205807,0.1958461188,0.00264065298,0.001482869569,1.331904115,10,1.127359023,0.5777305102,3.087491729,2.368155939,0.4896058028,25,0.7277679194,0.7416102923,0.5747922588,0.8681271797,2,2,27,23,0.54,False,exploratory_measurement_sensitivity
anicetus,composite_selected50,Frozen composite top 50,232.8408,0.171142,39.2904,image_qc_pass,0.798769914,1,1,1,8,False,0.01817939366,0.001770377282,0.1789035898,0.6022117393,0.002538304723,5.847912198e-05,0.01244276056,0.1800698517,0.002109369966,0.001716133843,1.213762053,10,1.10031665,0.5724070873,3.005117443,2.338673,0.4778614494,26,0.5689092873,0.5989369672,0.4875633234,0.806865029,1,1,38,12,0.76,False,exploratory_measurement_sensitivity
apalachicolae,composite_selected50,Frozen composite top 50,268.6536,0.1466305,40.5576,image_qc_pass,0.775495494,2,2,1,11,False,0.01664503321,0.00164595657,0.1778875189,0.6130982446,0.003155658912,7.60023929e-05,0.01007558556,0.1736801869,0.002093377045,0.001642435896,1.237373757,10,1.078504629,0.5619034383,2.940279453,2.282601799,0.468388609,12,0.5803427918,0.5440445243,0.3729101595,0.8780561077,2,2,26,24,0.52,False,exploratory_measurement_sensitivity
auriculatus,composite_selected50,Frozen composite top 50,282.8232,0.1669835,47.2392,image_qc_pass,0.884908478,2,2,1,6,False,0.01094212531,0.001127029584,0.1525877172,0.6475484663,0.005882897303,3.762520785e-05,0.007261387085,0.1716937493,0.00188136709,0.001037635603,1.445454017,10,1.013150637,0.5277062747,2.754265048,2.117326457,0.4400057309,13,0.7094433908,0.6740120865,0.4483030963,1.030496282,2,2,26,24,0.52,False,exploratory_measurement_sensitivity
bairdi,composite_selected50,Frozen composite top 50,286.1064,0.1465485,42.4872,image_qc_pass,0.994987049,1,1,1,12,False,0.01395890296,0.001190160409,0.1510124524,0.6657161897,0.005095527714,3.295083639e-05,0.008756949995,0.1511301763,0.001944629286,0.001162060399,1.483501138,10,0.9982899183,0.5108728147,2.713637317,2.044458027,0.4335518029,32,0.5432169726,0.4923286227,0.4273760909,0.7159500895,1,1,27,23,0.54,False,exploratory_measurement_sensitivity
campi,composite_selected50,Frozen composite top 50,234.9648,0.1622545,37.4472,image_qc_pass,0.782645185,2,2,2,11,False,0.01542703514,0.001410744873,0.167707444,0.6244755653,0.004020151002,4.475503502e-05,0.01291107749,0.1708935396,0.00175776205,0.001351925436,1.314691145,10,1.06787891,0.5522721191,2.909202271,2.233499504,0.4637739179,33,0.6815578756,0.7438831984,0.5115001014,0.9816317288,2,2,32,18,0.64,False,exploratory_measurement_sensitivity
fuscus,composite_selected50,Frozen composite top 50,260.5968,0.176701,46.7784,image_qc_pass,1,4,4,1,12,False,0.01437289827,0.001499901741,0.1635992169,0.6469634796,0.004976283035,4.573561325e-05,0.009211603144,0.1559169862,0.002239720143,0.001174175398,1.37487021,10,1.030001303,0.5300386017,2.801069483,2.127834336,0.447323882,34,0.7050489108,0.7644807407,0.6327500287,0.9029393633,4,4,25,25,0.5,False,exploratory_measurement_sensitivity
gvnigeusgwotli,composite_selected50,Frozen composite top 50,252.6768,0.161044,41.2272,image_qc_pass,0.833408845,1,1,1,16,False,0.02509054123,0.00321724914,0.1554118997,0.6040273239,0.00499479134,0.0001326075624,0.01103973289,0.1919136101,0.002562593627,0.001609650475,1.357540425,10,1.124606128,0.5733714146,3.079003875,2.343959205,0.4884102355,27,0.5132832219,0.5939479841,0.465892953,0.6290836015,1,1,25,25,0.5,False,exploratory_measurement_sensitivity
intermedius,composite_selected50,Frozen composite top 50,274.572,0.155247,42.1488,image_qc_pass,0.989981892,2,2,2,16,False,0.02106713276,0.002432969096,0.1636153342,0.6139731574,0.005669587401,7.289031343e-05,0.0100733652,0.17975681,0.001823813415,0.00151494031,1.32243306,10,1.09780914,0.5633654868,2.99759152,2.290244975,0.4767724515,24,0.6458576375,0.8004003748,0.5710053102,0.8338711889,2,2,20,30,0.4,False,exploratory_measurement_sensitivity
kanawha,composite_selected50,Frozen composite top 50,249.1344,0.1615,40.5432,image_qc_pass,0.809932797,2,2,1,9,False,0.02025791477,0.002161647839,0.1501103977,0.6342074111,0.005418384519,8.657212912e-05,0.01014231711,0.1742261927,0.001999235867,0.001389926241,1.441005039,10,1.067385903,0.5443398443,2.907768366,2.194618045,0.4635598075,,,,,,2,2,13,37,0.26,False,exploratory_measurement_sensitivity
marmoratus,composite_selected50,Frozen composite top 50,261.0504,0.1703245,44.6256,image_qc_pass,0.971490017,2,2,1,11,False,0.01916582996,0.0026880015,0.1691107757,0.6033818152,0.005265705115,6.342951018e-05,0.01102709889,0.1855793933,0.002163392547,0.001554558267,1.271996212,10,1.110916335,0.5723612395,3.037140157,2.338422267,0.482464834,14,0.5123653913,0.6361630242,0.4100395052,1.078267555,2,2,11,39,0.22,False,exploratory_measurement_sensitivity
mavrokoilius,composite_selected50,Frozen composite top 50,249.9624,0.151946,38.628,image_qc_pass,0.777869478,2,2,2,14,False,0.02094693519,0.002468665216,0.1580119413,0.6245793258,0.005168475376,7.891916621e-05,0.01054759639,0.1747925696,0.002036183592,0.001369388374,1.374407736,10,1.083799965,0.553791589,2.955890517,2.241105222,0.4706883442,27,0.5792901095,0.617755819,0.4986354702,0.7328088192,2,2,6,44,0.12,False,exploratory_measurement_sensitivity
monticola,composite_selected50,Frozen composite top 50,238.3848,0.1572345,38.9448,image_qc_pass,0.860433992,2,2,1,21,False,0.01512317072,0.00179140535,0.176405054,0.6180323355,0.002390706635,6.27847071e-05,0.009622737975,0.1728114466,0.002179982658,0.001580375887,1.253757985,10,1.064839331,0.5567160073,2.900372948,2.255890166,0.4624538457,24,0.627535033,0.6239255134,0.5126173361,0.7566837552,2,2,13,35,0.26,False,exploratory_measurement_sensitivity
ocoee,composite_selected50,Frozen composite top 50,273.2184,0.1497875,41.2128,image_qc_pass,0.92263416,3,3,1,9,False,0.015774489,0.001683140208,0.1778491744,0.6170544765,0.00383881747,5.394017692e-05,0.00997303559,0.1704271442,0.001814266456,0.001531515932,1.244021456,10,1.072008978,0.5581965273,2.921242319,2.263449841,0.4655675835,34,0.6598876856,0.7360709739,0.5523018183,0.7320174458,3,3,5,45,0.1,False,exploratory_measurement_sensitivity
perlapsus,composite_selected50,Frozen composite top 50,255.8808,0.1433005,35.5752,image_qc_pass,0.655613851,3,3,1,13,False,0.01775479014,0.001605678776,0.1821870152,0.6146669274,0.00402679765,4.420950998e-05,0.009616092032,0.1665508764,0.001957886109,0.001589726733,1.216046824,10,1.079558131,0.5608204078,2.943378677,2.276972832,0.4688461393,44,0.5520895834,0.6473253432,0.47374849,0.6889477886,3,3,6,44,0.12,False,exploratory_measurement_sensitivity
tilleyi,composite_selected50,Frozen composite top 50,249.4368,0.1585835,39.384,image_qc_pass,0.871299424,2,2,2,23,False,0.01790468937,0.001798355368,0.1853052378,0.5976727713,0.00215446093,8.175124344e-05,0.01072728624,0.1803092207,0.002307467683,0.001738759302,1.171038999,10,1.099989749,0.5754859294,3.004135228,2.355634523,0.477719478,122,0.5737035668,0.6160149383,0.5465284846,0.6387908135,2,2,7,43,0.14,False,exploratory_measurement_sensitivity
valtos,composite_selected50,Frozen composite top 50,280.5912,0.1773525,48.7656,image_qc_pass,1.20844043,2,2,1,9,False,0.01263210407,0.001125542021,0.1463057822,0.6730186805,0.005620434576,4.30974337e-05,0.007970948114,0.1503306919,0.00182819691,0.001124522325,1.526074256,10,0.9826705186,0.502780586,2.671581231,2.011184543,0.4267683837,,,,,,2,2,8,42,0.16,False,exploratory_measurement_sensitivity
welteri,composite_selected50,Frozen composite top 50,277.416,0.160534,44.928,image_qc_pass,0.717696603,2,2,1,9,False,0.01280740296,0.001507398617,0.1777930542,0.6259381372,0.005286041288,6.936633294e-05,0.008779404961,0.1644843177,0.002066250919,0.001268625895,1.258631287,10,1.054002602,0.549258782,2.86911208,2.218567905,0.457747514,76,0.5978278055,0.6815146068,0.543768929,0.6802770783,2,2,9,41,0.18,False,exploratory_measurement_sensitivity
amphileucus,eligible_candidate_pool,All eligible candidates,262.0224,0.15648,41.256,all_selected,0.936665001,2,2,1,15,False,0.02470365352,0.003090392184,0.1579813241,0.5984727176,0.003709692581,0.0001005205879,0.01197205807,0.1958461188,0.00264065298,0.001482869569,1.331904115,10,1.127359023,0.5777305102,3.087491729,2.368155939,0.4896058028,25,0.7277679194,0.7416102923,0.5747922588,0.8681271797,2,2,27,23,0.54,False,exploratory_measurement_sensitivity
anicetus,eligible_candidate_pool,All eligible candidates,212.8464,0.179095,38.6064,all_selected,0.829251063,1,1,1,8,False,0.01817939366,0.001770377282,0.1789035898,0.6022117393,0.002538304723,5.847912198e-05,0.01244276056,0.1800698517,0.002109369966,0.001716133843,1.213762053,10,1.10031665,0.5724070873,3.005117443,2.338673,0.4778614494,26,0.5689092873,0.5989369672,0.4875633234,0.806865029,1,1,38,12,0.76,False,exploratory_measurement_sensitivity
