species,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,body_size_proxy_measurement,body_size_proxy_confidence,development_confidence,lifestyle_confidence,has_core_organismal_complete,has_core_organismal_mediumplus,has_core_organismal_phylofill,body_size_phylofill_mode,development_phylofill_mode,aquaticity_phylofill_mode,microhabitat_phylofill_mode,n_core_traits_with_phylo_assistance,uses_any_phylo_assistance,uses_total_length_body_proxy,uses_mixed_stage_body_proxy,has_elevation,organismal_source_ids,te_feature_source_ids,genome_source_id,morphology_source_id,eligible_te_genome_all,te_genome_all_exclusion_reasons,eligible_te_genome_primary,te_genome_primary_exclusion_reasons,eligible_te_genome_primary_mediumplus,te_genome_primary_mediumplus_exclusion_reasons,eligible_te_genome_organismal_primary_mediumplus,te_genome_organismal_primary_mediumplus_exclusion_reasons,eligible_te_genome_organismal_primary_phylofill,te_genome_organismal_primary_phylofill_exclusion_reasons,eligible_te_genome_primary_phylofill,te_genome_primary_phylofill_exclusion_reasons,eligible_te_genome_primary_strict_body,te_genome_primary_strict_body_exclusion_reasons,eligible_te_genome_organismal_primary_strict_body,te_genome_organismal_primary_strict_body_exclusion_reasons,eligible_te_genome_ectopic_all,te_genome_ectopic_all_exclusion_reasons,eligible_te_genome_ectopic_primary_mediumplus,te_genome_ectopic_primary_mediumplus_exclusion_reasons,eligible_te_genome_ectopic_organismal_primary_mediumplus,te_genome_ectopic_organismal_primary_mediumplus_exclusion_reasons,eligible_te_genome_ectopic_organismal_primary_phylofill,te_genome_ectopic_organismal_primary_phylofill_exclusion_reasons,eligible_te_genome_ectopic_primary_phylofill,te_genome_ectopic_primary_phylofill_exclusion_reasons,eligible_te_genome_ectopic_primary_strict_body,te_genome_ectopic_primary_strict_body_exclusion_reasons,eligible_te_genome_ectopic_organismal_primary_strict_body,te_genome_ectopic_organismal_primary_strict_body_exclusion_reasons,eligible_te_genome_morphology_all,te_genome_morphology_all_exclusion_reasons,eligible_te_genome_morphology_primary_mediumplus,te_genome_morphology_primary_mediumplus_exclusion_reasons,eligible_te_genome_morphology_primary_phylofill,te_genome_morphology_primary_phylofill_exclusion_reasons,eligible_te_genome_morphology_primary_strict_body,te_genome_morphology_primary_strict_body_exclusion_reasons
abditus,True,True,False,True,False,,,medium,low,False,False,True,phylo_inferred_for_missing,observed_mediumplus,observed_low_conf_supported_by_phylogeny,observed_low_conf_supported_by_phylogeny,3,True,False,False,False,amphibio_2017,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,,,False,missing_genome,False,missing_genome;missing_body_size,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome,False,missing_genome,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome,False,missing_genome,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology;missing_body_size;low_body_confidence;low_lifestyle_confidence,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology;missing_body_size;low_body_confidence;low_lifestyle_confidence
adatsihi,True,True,False,True,False,species_description_svl_range_mid_mm,medium,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,False,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,,,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology
aeneus,True,True,True,True,False,manual_adult_svl_max_mm,medium,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,False,False,amphibio_2017;bruce_2014_reproductive_allometry_article;nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,missing_morphology,False,missing_morphology,False,missing_morphology,False,missing_morphology
amphileucus,True,True,True,True,True,adult_svl_range_mid_mm,high,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,False,True,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,
anicetus,True,True,True,True,True,svl_q90_all_specimens_mixed_life_stages_mm,medium,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,True,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary,True,,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,False,mixed_stage_body_proxy
apalachicolae,True,True,True,True,True,manual_svl_mean_all_specimens_mm,medium,medium,high,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,True,False,amphibio_2017;graham_timpe_laurencio_2010_auriculatus_decline,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary,True,,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,False,mixed_stage_body_proxy
aureatus,True,True,True,True,False,adult_svl_range_mid_mm,high,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,False,True,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,True,,False,missing_morphology,False,missing_morphology,False,missing_morphology,False,missing_morphology
auriculatus,True,True,True,True,True,manual_svl_mean_all_specimens_mm,medium,medium,high,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,True,False,amphibio_2017;graham_timpe_laurencio_2010_auriculatus_decline,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary,True,,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,False,mixed_stage_body_proxy
bairdi,True,True,True,True,True,svl_q90_all_specimens_mixed_life_stages_mm,medium,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,True,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary,True,,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,False,mixed_stage_body_proxy
balsameus,True,True,False,True,False,species_description_svl_range_mid_mm,medium,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,False,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,,,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology
brimleyorum,True,False,True,False,True,amphibio_body_size_mm_measurement,low,medium,low,True,False,False,observed_low_conf_not_phylo_supported,observed_mediumplus,observed_low_conf_not_phylo_supported,observed_low_conf_not_phylo_supported,0,False,False,False,False,amphibio_2017,,cellprofiler_final_species_results,cellprofiler_species_morphology_summary,False,missing_te,False,missing_te,False,missing_te;low_body_confidence;low_lifestyle_confidence,False,missing_te;low_body_confidence;low_lifestyle_confidence,False,missing_te;body_size_not_usable_after_phylofill;aquaticity_not_usable_after_phylofill;microhabitat_not_usable_after_phylofill,False,missing_te;body_size_not_usable_after_phylofill;aquaticity_not_usable_after_phylofill;microhabitat_not_usable_after_phylofill,False,missing_te;low_body_confidence;low_lifestyle_confidence,False,missing_te;low_body_confidence;low_lifestyle_confidence,False,missing_te;missing_ectopic,False,missing_te;missing_ectopic;low_body_confidence;low_lifestyle_confidence,False,missing_te;missing_ectopic;low_body_confidence;low_lifestyle_confidence,False,missing_te;missing_ectopic;body_size_not_usable_after_phylofill;aquaticity_not_usable_after_phylofill;microhabitat_not_usable_after_phylofill,False,missing_te;missing_ectopic;body_size_not_usable_after_phylofill;aquaticity_not_usable_after_phylofill;microhabitat_not_usable_after_phylofill,False,missing_te;missing_ectopic;low_body_confidence;low_lifestyle_confidence,False,missing_te;missing_ectopic;low_body_confidence;low_lifestyle_confidence,False,missing_te,False,missing_te;low_body_confidence;low_lifestyle_confidence,False,missing_te;body_size_not_usable_after_phylofill;aquaticity_not_usable_after_phylofill;microhabitat_not_usable_after_phylofill,False,missing_te;low_body_confidence;low_lifestyle_confidence
campi,True,True,True,True,True,svl_q90_all_specimens_mixed_life_stages_mm,medium,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,True,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary,True,,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,True,,True,,False,mixed_stage_body_proxy,False,mixed_stage_body_proxy,True,,True,,True,,False,mixed_stage_body_proxy
carolinensis,True,True,False,True,False,svl_q90_all_specimens_mixed_life_stages_mm,medium,medium,medium,True,True,True,observed_mediumplus,observed_mediumplus,observed_mediumplus,observed_mediumplus,0,False,False,True,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,,,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome;mixed_stage_body_proxy,False,missing_genome;mixed_stage_body_proxy,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome,False,missing_genome;mixed_stage_body_proxy,False,missing_genome;mixed_stage_body_proxy,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology,False,missing_genome;missing_morphology;mixed_stage_body_proxy
