species,has_tree_tip,has_te,has_genome,has_ectopic,has_morphology,has_ltr_history,genome_size_pg,genome_size_se_pg,genome_result_status,genome_flag_summary,morph_cell_area_um2,morph_nucleus_area_um2,morph_nc_ratio,ltr_line_logratio,order_pielou,weighted_te_divergence_p90,weighted_te_deletions_p90,ectopic_log10_mean_ratio,ltr_history_median_k2p_distance,ltr_history_n_pairs_estimated,ltr_history_n_pairs_high_confidence,ltr_history_age_low_mya,ltr_history_age_central_mya,ltr_history_age_high_mya,ltr_history_source_id,ltr_history_calibration_source_id,ltr_history_rate_source_id,ltr_history_source_ids,body_size_proxy_mm,body_size_proxy_measurement,body_size_proxy_source_id,body_size_proxy_confidence,body_size_proxy_mm_phylofill,body_size_phylofill_mode,body_size_phylofill_usable,development_mode,development_source_id,development_confidence,development_mode_phylofill,development_phylofill_mode,development_phylofill_usable,aquaticity_index,aquaticity_index_phylofill,aquaticity_phylofill_mode,aquaticity_phylofill_usable,microhabitat_class,microhabitat_class_phylofill,microhabitat_phylofill_mode,microhabitat_phylofill_usable,lifestyle_source_id,lifestyle_confidence,elevation_mid_m,elevation_source_id,has_core_organismal_complete,has_core_organismal_mediumplus,has_core_organismal_phylofill,has_elevation,uses_total_length_body_proxy,uses_mixed_stage_body_proxy,is_low_confidence_body_proxy,is_low_confidence_lifestyle_proxy,n_core_traits_with_phylo_assistance,uses_any_phylo_assistance,organismal_source_ids,te_feature_source_ids,genome_source_id,morphology_source_id
gvnigeusgwotli,True,True,True,True,True,True,16.9464,3.1478,stable,,246.7512,50.7096,0.204206,1.3574617440156784,0.5050007028599041,14.753146766954536,0.687805999246936,-0.1292633999070879,0.0673890318619744,33.0,5.0,33.694515930987194,27.46089317928867,22.022559432017776,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,100.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,100.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
intermedius,True,True,True,True,True,True,13.9225,3.164,stable,,257.7456,52.2648,0.207789,1.3223591937199697,0.4944719987426275,14.12848762727508,0.5907264918722782,0.5031703365139655,0.0692832559815024,28.0,7.0,34.64162799075122,28.232785648534005,22.641586922059624,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,56.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,56.5,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,high,aquatic_larva,observed_mediumplus,True,2.0,2.0,observed_mediumplus,True,stream_aquatic,stream_aquatic,observed_mediumplus,True,nc_biodiversity_amphibians,medium,900.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
marmoratus,True,True,True,True,True,True,16.7645,1.8257,minor_caution,tier_instability_warn,121.6386,43.6302,0.574967,1.271926112580415,0.4996556306918895,14.207317623098469,0.6058700460408416,0.0874808546199834,0.0762872046401257,15.0,3.0,38.14360232006285,31.08688045644893,24.93045903272081,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,52.5,adult_svl_range_mid_mm,nc_biodiversity_amphibians,high,52.5,observed_mediumplus,True,aquatic_larva,amphibio_2017,medium,aquatic_larva,observed_mediumplus,True,2.0,2.0,observed_mediumplus,True,stream_aquatic,stream_aquatic,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1025.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,amphibio_2017;nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
mavrokoilius,True,True,True,True,True,True,16.8488,1.7619,stable,,176.0616,37.746,0.365498,1.374329859919484,0.4875831612824404,14.155138341963386,0.590905611602678,-0.128946712029589,0.066285701020671,34.0,5.0,33.14285051033549,27.011288109482884,21.6619937976049,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,83.0,adult_svl_max_mm,nc_biodiversity_amphibians,medium,83.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,1083.0,nc_biodiversity_amphibians,True,True,True,True,False,False,False,False,0,False,nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
monticola,True,True,True,True,True,True,16.363,1.8258,sensitivity_limited,preservation_shift; tier_instability_warn,123.4638,35.5374,0.555508,1.2536912672924958,0.4786011886944919,13.519012728992688,0.5325056246702857,-0.161988774544403,0.0792471144506213,29.0,8.0,39.62355722531065,32.29303767343981,25.897749820464472,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,44.0,manual_svl_mean_all_specimens_mm,pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,medium,44.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,nc_biodiversity_amphibians,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_oconnell_duncan_burbrink_beamer_2023_monticola_article,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
ocoee,True,True,True,True,True,True,14.6415,2.3643,stable,,241.2576,54.7056,0.236147,1.2439555145360093,0.4827312240594046,13.001241718084772,0.4996314418710403,0.0677608864555128,0.0817631700181885,38.0,5.0,40.88158500909422,33.31832519078584,26.71999020202237,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,52.0,manual_adult_svl_max_mm,bruce_2016_gompertz_dusky_salamanders_article,medium,52.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,False,False,False,0,False,bruce_2016_gompertz_dusky_salamanders_article;nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
orestes,True,True,True,True,False,True,15.6916,2.3112,minor_caution,tier_instability_warn,,,,1.2898431743950491,0.4803077535213144,12.9097417939543,0.4747686900983235,-0.0037901792314025,0.0647399474608316,40.0,7.0,32.36997373041577,26.38139668330544,21.15684557543515,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,38.9,manual_adult_svl_mean_mm,kozak_larson_bonett_harmon_2005_ecomorphology_article,medium,38.9,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,False,False,False,0,False,kozak_larson_bonett_harmon_2005_ecomorphology_article;nc_biodiversity_amphibians,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
organi,True,True,True,True,False,True,13.744,4.6072,caution,high_standard_error; low_image_count; low_specimen_count,,,,0.6647281215140753,0.541685188839575,17.936835365930865,0.9611027175242738,-0.2369870007581695,0.073502813105776,21.0,7.0,36.751406552888,29.952246579370826,24.02052715875033,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,30.8,manual_adult_svl_max_mm,vhs_northern_pygmy_salamander_organi,medium,30.8,observed_mediumplus,True,direct_development,nc_biodiversity_amphibians,medium,direct_development,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,False,False,False,0,False,nc_biodiversity_amphibians;vhs_northern_pygmy_salamander_organi,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
perlapsus,True,True,True,True,True,True,14.0418,2.4287,stable,,237.1248,41.4288,0.205005,1.2159832012368497,0.4858324551858264,13.18925741449704,0.5172610322448646,-0.031832895444907,0.0690149160264995,53.0,7.0,34.507458013249746,28.12343766361024,22.553894126307025,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,39.0,manual_adult_svl_range_mid_mm,pyron_beamer_2022_ocoee_treatmentbank,high,39.0,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,False,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2022_ocoee_treatmentbank,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
santeetlah,True,True,True,True,False,True,15.6268,3.2098,stable,,,,,1.22553154974885,0.4859172820026624,12.88553411181062,0.3175093473052658,-0.0709023410663871,0.0712702839600368,45.0,11.0,35.6351419800184,29.042495501237493,23.290942470600264,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,49.12199999999999,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,49.12199999999999,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,,,True,True,True,False,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
tilleyi,True,True,True,True,True,True,16.685,4.0931,minor_caution,high_standard_error,231.7824,54.0648,0.237213,1.170977681596102,0.4943423868562523,13.373407283911636,0.564578029503404,-0.1503909207126505,0.0673660529348708,142.0,36.0,33.6830264674354,27.451529313313284,22.015049978715943,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,45.804,svl_q90_all_specimens_mixed_life_stages_mm,pyron_beamer_2023_conanti_fuscus_appendix_s1,medium,45.804,observed_mediumplus,True,aquatic_larva,nc_biodiversity_amphibians,medium,aquatic_larva,observed_mediumplus,True,1.0,1.0,observed_mediumplus,True,streamside,streamside,observed_mediumplus,True,nc_biodiversity_amphibians,medium,850.0,nc_biodiversity_amphibians,True,True,True,True,False,True,False,False,0,False,nc_biodiversity_amphibians;pyron_beamer_2023_conanti_fuscus_appendix_s1,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,cellprofiler_species_morphology_summary
valentinei,True,True,True,True,False,True,11.9009,0.0,caution,low_image_count; low_specimen_count,,,,1.3865720886274626,0.4562806139958404,14.126223902986988,0.5406034048025227,-0.0924019727509146,0.0730903766594687,82.0,12.0,36.54518832973432,29.78417956783564,23.8857440063623,repo_ltr_age_species_summary,repo_ltr_age_species_summary_calibrated,repo_ltr_substitution_rate_candidates,repo_ltr_age_species_summary;repo_ltr_age_species_summary_calibrated;repo_ltr_substitution_rate_candidates,62.0,manual_adult_svl_max_mm,pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,medium,62.0,observed_mediumplus,True,aquatic_larva,pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,high,aquatic_larva,observed_mediumplus,True,3.0,3.0,observed_mediumplus,True,swamp_coastal_plain,swamp_coastal_plain,observed_mediumplus,True,louisianaherps_valentinei,high,,,True,True,True,False,False,False,False,False,0,False,louisianaherps_valentinei;pyron_oconnell_lamb_beamer_2022_pascagoula_treatmentbank,repo_divergence_summary_statistics_by_species;repo_diversity_order_stats;repo_dnapipete_order_breakdown;repo_ectopic_recombination_filtered_3000bp_5plusdomains,cellprofiler_final_species_results,
