id,decision,decision_source,species,rank,review_key,filename,tile_name
"amphileucus-0001","keep","implicit_default","D. amphileucus","1","Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::31","Process_337_raw_green.ome.tiff","tile_y040960_x094208.tiff"
"amphileucus-0002","keep","implicit_default","D. amphileucus","2","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::62","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0003","problem","explicit","D. amphileucus","3","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::28","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0004","keep","implicit_default","D. amphileucus","4","Process_337_raw_green.ome.tiff::tile_y040960_x094208.tiff::110","Process_337_raw_green.ome.tiff","tile_y040960_x094208.tiff"
"amphileucus-0005","keep","implicit_default","D. amphileucus","5","Process_337_raw_green.ome.tiff::tile_y020480_x094208.tiff::62","Process_337_raw_green.ome.tiff","tile_y020480_x094208.tiff"
"amphileucus-0006","keep","implicit_default","D. amphileucus","6","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::91","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0007","problem","explicit","D. amphileucus","7","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::12","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0008","problem","explicit","D. amphileucus","8","Process_337_raw_green.ome.tiff::tile_y032768_x040960.tiff::42","Process_337_raw_green.ome.tiff","tile_y032768_x040960.tiff"
"amphileucus-0009","keep","implicit_default","D. amphileucus","9","Process_338_raw_green.ome.tiff::tile_y040960_x106496.tiff::18","Process_338_raw_green.ome.tiff","tile_y040960_x106496.tiff"
"amphileucus-0010","problem","explicit","D. amphileucus","10","Process_337_raw_green.ome.tiff::tile_y045056_x049152.tiff::27","Process_337_raw_green.ome.tiff","tile_y045056_x049152.tiff"
"amphileucus-0011","problem","explicit","D. amphileucus","11","Process_338_raw_green.ome.tiff::tile_y024576_x004096.tiff::29","Process_338_raw_green.ome.tiff","tile_y024576_x004096.tiff"
"amphileucus-0012","keep","implicit_default","D. amphileucus","12","Process_338_raw_green.ome.tiff::tile_y008192_x081920.tiff::54","Process_338_raw_green.ome.tiff","tile_y008192_x081920.tiff"
"anicetus-0013","keep","implicit_default","D. anicetus","1","Process_343_raw_green.ome.tiff::tile_y012288_x036864.tiff::36","Process_343_raw_green.ome.tiff","tile_y012288_x036864.tiff"
"anicetus-0014","keep","implicit_default","D. anicetus","2","Process_343_raw_green.ome.tiff::tile_y012288_x036864.tiff::41","Process_343_raw_green.ome.tiff","tile_y012288_x036864.tiff"
"anicetus-0015","keep","implicit_default","D. anicetus","3","Process_343_raw_green.ome.tiff::tile_y045056_x040960.tiff::17","Process_343_raw_green.ome.tiff","tile_y045056_x040960.tiff"
"anicetus-0016","keep","implicit_default","D. anicetus","4","Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::41","Process_343_raw_green.ome.tiff","tile_y045056_x045056.tiff"
"anicetus-0017","keep","implicit_default","D. anicetus","5","Process_343_raw_green.ome.tiff::tile_y045056_x045056.tiff::13","Process_343_raw_green.ome.tiff","tile_y045056_x045056.tiff"
"anicetus-0018","keep","implicit_default","D. anicetus","6","Process_343_raw_green.ome.tiff::tile_y040960_x012288.tiff::120","Process_343_raw_green.ome.tiff","tile_y040960_x012288.tiff"
"apalachicolae-0019","problem","explicit","D. apalachicolae","1","Process_356_raw_green.ome.tiff::tile_y008192_x036864.tiff::10","Process_356_raw_green.ome.tiff","tile_y008192_x036864.tiff"
"apalachicolae-0020","keep","implicit_default","D. apalachicolae","2","Process_356_raw_green.ome.tiff::tile_y016384_x012288.tiff::32","Process_356_raw_green.ome.tiff","tile_y016384_x012288.tiff"
"apalachicolae-0021","keep","implicit_default","D. apalachicolae","3","Process_356_raw_green.ome.tiff::tile_y020480_x004096.tiff::6","Process_356_raw_green.ome.tiff","tile_y020480_x004096.tiff"
"apalachicolae-0022","keep","implicit_default","D. apalachicolae","4","Process_356_raw_green.ome.tiff::tile_y032768_x016384.tiff::9","Process_356_raw_green.ome.tiff","tile_y032768_x016384.tiff"
"apalachicolae-0023","keep","implicit_default","D. apalachicolae","5","Process_357_raw_green.ome.tiff::tile_y020480_x028672.tiff::32","Process_357_raw_green.ome.tiff","tile_y020480_x028672.tiff"
"apalachicolae-0024","keep","implicit_default","D. apalachicolae","6","Process_357_raw_green.ome.tiff::tile_y032768_x045056.tiff::156","Process_357_raw_green.ome.tiff","tile_y032768_x045056.tiff"
"apalachicolae-0025","keep","implicit_default","D. apalachicolae","7","Process_357_raw_green.ome.tiff::tile_y032768_x045056.tiff::161","Process_357_raw_green.ome.tiff","tile_y032768_x045056.tiff"
"apalachicolae-0026","problem","explicit","D. apalachicolae","8","Process_357_raw_green.ome.tiff::tile_y040960_x036864.tiff::31","Process_357_raw_green.ome.tiff","tile_y040960_x036864.tiff"
"auriculatus-0027","keep","implicit_default","D. auriculatus","1","Process_331_raw_green.ome.tiff::tile_y020480_x040960.tiff::126","Process_331_raw_green.ome.tiff","tile_y020480_x040960.tiff"
"auriculatus-0028","keep","implicit_default","D. auriculatus","2","Process_331_raw_green.ome.tiff::tile_y000000_x008192.tiff::199","Process_331_raw_green.ome.tiff","tile_y000000_x008192.tiff"
"auriculatus-0029","keep","implicit_default","D. auriculatus","3","Process_331_raw_green.ome.tiff::tile_y000000_x008192.tiff::149","Process_331_raw_green.ome.tiff","tile_y000000_x008192.tiff"
"auriculatus-0030","keep","implicit_default","D. auriculatus","4","Process_379_raw_green.ome.tiff::tile_y020480_x032768.tiff::35","Process_379_raw_green.ome.tiff","tile_y020480_x032768.tiff"
"auriculatus-0031","problem","explicit","D. auriculatus","5","Process_379_raw_green.ome.tiff::tile_y020480_x032768.tiff::33","Process_379_raw_green.ome.tiff","tile_y020480_x032768.tiff"
"auriculatus-0032","keep","implicit_default","D. auriculatus","6","Process_331_raw_green.ome.tiff::tile_y020480_x040960.tiff::214","Process_331_raw_green.ome.tiff","tile_y020480_x040960.tiff"
"auriculatus-0033","keep","implicit_default","D. auriculatus","7","Process_324_raw_green.ome.tiff::tile_y028672_x086016.tiff::5","Process_324_raw_green.ome.tiff","tile_y028672_x086016.tiff"
"auriculatus-0034","keep","implicit_default","D. auriculatus","8","Process_331_raw_green.ome.tiff::tile_y020480_x040960.tiff::103","Process_331_raw_green.ome.tiff","tile_y020480_x040960.tiff"
"auriculatus-0035","keep","implicit_default","D. auriculatus","9","Process_331_raw_green.ome.tiff::tile_y008192_x061440.tiff::116","Process_331_raw_green.ome.tiff","tile_y008192_x061440.tiff"
"auriculatus-0036","problem","explicit","D. auriculatus","10","Process_380_raw_green.ome.tiff::tile_y040960_x028672.tiff::5","Process_380_raw_green.ome.tiff","tile_y040960_x028672.tiff"
"auriculatus-0037","keep","implicit_default","D. auriculatus","11","Process_331_raw_green.ome.tiff::tile_y000000_x008192.tiff::18","Process_331_raw_green.ome.tiff","tile_y000000_x008192.tiff"
"auriculatus-0038","keep","implicit_default","D. auriculatus","12","Process_331_raw_green.ome.tiff::tile_y008192_x061440.tiff::51","Process_331_raw_green.ome.tiff","tile_y008192_x061440.tiff"
"bairdi-0039","keep","implicit_default","D. bairdi","1","Process_359_raw_green.ome.tiff::tile_y020480_x036864.tiff::59","Process_359_raw_green.ome.tiff","tile_y020480_x036864.tiff"
"bairdi-0040","keep","implicit_default","D. bairdi","2","Process_359_raw_green.ome.tiff::tile_y032768_x036864.tiff::48","Process_359_raw_green.ome.tiff","tile_y032768_x036864.tiff"
"bairdi-0041","keep","implicit_default","D. bairdi","3","Process_359_raw_green.ome.tiff::tile_y020480_x036864.tiff::2","Process_359_raw_green.ome.tiff","tile_y020480_x036864.tiff"
"bairdi-0042","keep","implicit_default","D. bairdi","4","Process_359_raw_green.ome.tiff::tile_y032768_x036864.tiff::65","Process_359_raw_green.ome.tiff","tile_y032768_x036864.tiff"
"bairdi-0043","keep","implicit_default","D. bairdi","5","Process_359_raw_green.ome.tiff::tile_y028672_x049152.tiff::120","Process_359_raw_green.ome.tiff","tile_y028672_x049152.tiff"
"bairdi-0044","keep","implicit_default","D. bairdi","6","Process_359_raw_green.ome.tiff::tile_y036864_x053248.tiff::71","Process_359_raw_green.ome.tiff","tile_y036864_x053248.tiff"
"bairdi-0045","keep","implicit_default","D. bairdi","7","Process_359_raw_green.ome.tiff::tile_y036864_x053248.tiff::16","Process_359_raw_green.ome.tiff","tile_y036864_x053248.tiff"
"bairdi-0046","keep","implicit_default","D. bairdi","8","Process_359_raw_green.ome.tiff::tile_y028672_x049152.tiff::20","Process_359_raw_green.ome.tiff","tile_y028672_x049152.tiff"
"bairdi-0047","keep","implicit_default","D. bairdi","9","Process_359_raw_green.ome.tiff::tile_y028672_x049152.tiff::140","Process_359_raw_green.ome.tiff","tile_y028672_x049152.tiff"
"bairdi-0048","keep","implicit_default","D. bairdi","10","Process_359_raw_green.ome.tiff::tile_y020480_x036864.tiff::95","Process_359_raw_green.ome.tiff","tile_y020480_x036864.tiff"
"brimleyorum-0049","problem","explicit","D. brimleyorum","1","Process_349_raw_green.ome.tiff::tile_y008192_x032768.tiff::16","Process_349_raw_green.ome.tiff","tile_y008192_x032768.tiff"
"brimleyorum-0050","keep","implicit_default","D. brimleyorum","2","Process_349_raw_green.ome.tiff::tile_y012288_x073728.tiff::361","Process_349_raw_green.ome.tiff","tile_y012288_x073728.tiff"
"brimleyorum-0051","keep","implicit_default","D. brimleyorum","3","Process_348_raw_green.ome.tiff::tile_y020480_x049152.tiff::78","Process_348_raw_green.ome.tiff","tile_y020480_x049152.tiff"
"brimleyorum-0052","keep","implicit_default","D. brimleyorum","4","Process_348_raw_green.ome.tiff::tile_y020480_x049152.tiff::131","Process_348_raw_green.ome.tiff","tile_y020480_x049152.tiff"
